model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov8n-pose,514,378,324,160,3289948.0,9177729600.0,4604315200.0,9177729600.0,4604315200.0,,N/A,512,1024,128,256.0,257.0,post_placement,113,702,N/A,N/A,N/A,N/A,N/A,186,256,152,160,8,28,0,1013632,512,2,2,64.0,False,False,False,False,False,0,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util
contexts_total,0.15006902595433425,0.24151792310456616,,0.5123274475049973,0.7890205454782073,0.9205298851686772,0.9656012574476672,0.811789562127877,0.9155022808615226,0.5709902395348322,0.2645479107350383,,no runtime data,no runtime data,N/A,0.5672659653118107,0.9129458721995422,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data
context_0,0.10743156247249973,0.18213949679033314,,0.4609375,0.668585682137035,0.9376393984784053,0.9811428700854655,0.7758281183936714,0.8983050847457628,0.48840348177770726,0.2022295666735819,,1642.4069473813875,0.0006088625,0.0005372624999999999,0.5312356854618824,0.9006571085835531,,no runtime data,,,,
context_1,0.18779492250127758,0.2892478732498946,,0.54296875,0.8681796774225227,0.9121054053722101,0.9579207543932778,0.8312934971622445,0.9244604316546763,0.6244363489386987,0.31343777671337025,,1288.4979013590432,0.0007760975,0.0005192425,0.5991457841184554,0.9228239055383658,,no runtime data,,,,

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util
conv_feature_splitter2_1,conv,80,80,32,64,1,1,1,1,conv7,concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,1,0.0,1,1,1,False,,False,,533.3316040039062,266.6658020019531,yolov8n-pose/conv_feature_splitter2_1,1,0,1,0.76306,0,32,0.9102804660797119,0.11203452199697495,0.8540515994156326,12,2560,context_0,True,0.0008182525,0,26214400.0,512,8,-0.2872234284877777,2.642455577850342,-1.8150441646575928,2.4340133666992188,-0.35808858275413513,3.0238590240478516,8,8,16,0.9102804660797119,1.0,1.0,0.938229074708986,1.0,0.8540515994156326
conv_feature_splitter2_2,conv,80,80,32,64,1,1,1,1,conv7,conv9 ew_add2 concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,3,0.0,1,1,1,False,,False,,533.3316040039062,266.6658020019531,yolov8n-pose/conv_feature_splitter2_2,1,0,1,0.76306,0,32,0.9102804660797119,0.11203452199697495,0.8540515994156326,36,2560,context_0,True,0.0008182525,0,26214400.0,512,8,-0.2872234284877777,2.642455577850342,-0.556383490562439,0.4974294602870941,-0.2836228609085083,2.3950374126434326,8,8,16,0.9102804660797119,1.0,1.0,0.938229074708986,1.0,0.8540515994156326
conv9,conv,80,80,32,32,3,3,1,1,conv_feature_splitter2_2,conv10,9248.0,59187200.0,,2226.85,179626,115200.0,8,1,2,4,1,1,0.0,1,1,1,True,,False,,266.6658020019531,266.6658020019531,yolov8n-pose/conv9,4,0,1,0.766035,0,4,0.6596205234527588,0.14251834154129028,0.4865014520754901,128,256,context_0,True,0.000828365,0,117964800.0,10240,8,-0.2836228609085083,2.3950374126434326,-0.8127762675285339,0.8615956902503967,-0.2859088182449341,1.9233866930007935,8,8,16,0.6596205234527588,1.0,1.0,0.7375474758258227,1.0,0.4865014520754901
conv10,conv,80,80,32,32,3,3,1,1,conv9,ew_add2,9248.0,59187200.0,,2427.43,164783,115200.0,8,1,2,4,1,1,0.0,1,1,1,True,,False,,266.6658020019531,266.6658020019531,yolov8n-pose/conv10,4,0,1,0.7618975,0,4,0.7190365791320801,0.15535582602024078,0.4865014868674026,12,2560,context_0,True,0.0008349525,0,117964800.0,15360,8,-0.2859088182449341,1.9233866930007935,-1.067093849182129,0.8069096207618713,-0.28654247522354126,2.523777961730957,8,8,16,0.7190365791320801,1.0,1.0,0.676601860025868,1.0,0.4865014868674026
ew_add2,ew_add,80,80,32,32,,,,,conv_feature_splitter2_2 conv10,conv11 ew_add3 concat2,0,102400.0,,5080.07,78739,,1,1,1,32,0,3,0.0,,,,False,,False,,266.6658020019531,0.0,yolov8n-pose/ew_add2,1,0,1,0.748235,0,32,0.6502495408058167,0.3251247704029083,0.21022808348974195,36,2560,context_0,True,0.00083741,0,204800.0,0,N/A,-0.2836228609085083,2.3950374126434326,N/A,N/A,-0.5978111028671265,5.048182964324951,8,8,16,0.6502495408058167,1.0,1.0,0.3233037015746577,1.0,0.21022808348974195
conv11,conv,80,80,32,32,3,3,1,1,ew_add2,conv12,9248.0,59187200.0,,2226.85,179626,115200.0,8,1,2,4,1,1,0.0,1,1,1,True,,False,,266.6658020019531,266.6658020019531,yolov8n-pose/conv11,4,0,1,0.75787,0,4,0.6596205234527588,0.14251834154129028,0.4865014520754901,128,256,context_0,True,0.0008495025,0,117964800.0,10240,8,-0.5978111028671265,5.048182964324951,-0.3945377767086029,0.4758938252925873,-0.28045159578323364,1.9543970823287964,8,8,16,0.6596205234527588,1.0,1.0,0.7375474758258227,1.0,0.4865014520754901
conv12,conv,80,80,32,32,3,3,1,1,conv11,ew_add3,9248.0,59187200.0,,2427.43,164783,115200.0,8,1,2,4,1,1,0.0,1,1,1,True,,False,,266.6658020019531,266.6658020019531,yolov8n-pose/conv12,4,0,1,0.7537324999999999,0,4,0.7190365791320801,0.15535582602024078,0.4865014868674026,12,2560,context_0,True,0.00085609,0,117964800.0,15360,8,-0.28045159578323364,1.9543970823287964,-2.550065517425537,2.3449628353118896,-0.27858567237854004,6.8253493309021,8,8,16,0.7190365791320801,1.0,1.0,0.676601860025868,1.0,0.4865014868674026
ew_add3,ew_add,80,80,32,32,,,,,ew_add2 conv12,concat2,0,102400.0,,5080.07,78739,,1,1,1,32,0,1,0.0,,,,False,,False,,266.6658020019531,0.0,yolov8n-pose/ew_add3,1,0,1,0.74007,0,32,0.6502495408058167,0.3251247704029083,0.21022808348974195,12,2560,context_0,True,0.0008585475,0,204800.0,0,N/A,N/A,N/A,N/A,N/A,-1.186059594154358,10.01561450958252,8,8,16,0.6502495408058167,1.0,1.0,0.3233037015746577,1.0,0.21022808348974195
concat2,concat,80|80|80|80,80|80|80|80,128,32|32|32|32,,,,,conv_feature_splitter2_1 conv_feature_splitter2_2 ew_add2 ew_add3,conv13,0,0,,3550.03,112675,,1,1,1,128,0,1,1,,,,False,,False,,266.6658020019531,0.0,yolov8n-pose/concat2,0,0,1,0.7509275000000001,0,128,0.9088085293769836,0.9088085293769836,0.4204561828309004,32,1024,context_0,True,0.0008718625,0,0,0,N/A,N/A,N/A,N/A,N/A,-1.186059594154358,10.01561450958252,8,N/A,N/A,0.9088085293769836,1.0,1.0,0.4626455069904946,0.0,0.4204561828309004
conv13,conv,80,80,64,128,1,1,1,1,concat2,conv14 concat8,8256.0,52838400.0,,1789.38,223541,204800.0,4,1,1,16,2,2,0.0,1,1,1,False,,False,,1066.6632080078125,533.3316040039062,yolov8n-pose/conv13,4,0,1,0.752445,0,16,0.9233205318450928,0.22904075682163239,0.8474819643564183,12,5120,context_0,True,0.0008737325,0,104857600.0,1024,8,-1.186059594154358,10.01561450958252,-0.4910012483596802,0.4585949182510376,-0.28327855467796326,2.7265560626983643,8,8,16,0.9233205318450928,1.0,1.0,0.9178632285614569,1.0,0.8474819643564183
conv14,conv,80,80,128,64,3,3,2,2,conv13,conv_feature_splitter3_1 conv_feature_splitter3_2,73856.0,118169600,,2028.87,197154,138240,17.0,3.0,3.0,128,2,4.0,,1,1,1,False,,False,combined (SPATIAL_W),1226.6626892089844,533.3316040039062,,16.0,0.0,3.0,0.7530399999999999,0,128,0.712469476110795,0.2339181254307429,0.459584105415595,38.0,10240,context_0,True,0.00088924,0,235929600,10240,8,-0.28327855467796326,2.7265560626983643,-0.5753612518310547,0.494395911693573,-0.2789241671562195,1.9437527656555176,8,8,16,0.7211169041412265,1.0,1.0,0.6663059282136129,0.9411764705882353,0.4817384844150914
conv_feature_splitter3_1,conv,40,40,64,128,1,1,1,1,conv14,concat3,8256.0,13209600.0,,1843.82,216941,204800.0,1,1,1,64,8,1,0.0,1,1,1,False,,False,,266.6658020019531,133.33290100097656,yolov8n-pose/conv_feature_splitter3_1,1,0,1,0.7544125,0,64,0.9514107704162598,0.059002216905355453,0.8474820010465163,12,2560,context_0,True,0.000902795,0,26214400.0,1024,8,-0.2789241671562195,1.9437527656555176,-1.7256388664245605,1.6310261487960815,-0.5288255214691162,2.681900978088379,8,8,16,0.9514107704162598,1.0,1.0,0.8907635139296639,1.0,0.8474820010465163
conv_feature_splitter3_2,conv,40,40,64,128,1,1,1,1,conv14,conv16 ew_add4 concat3,8256.0,13209600.0,,1843.82,216941,204800.0,1,1,1,64,8,2,0.0,1,1,1,False,,False,,266.6658020019531,133.33290100097656,yolov8n-pose/conv_feature_splitter3_2,1,0,1,0.7544125,0,64,0.9514107704162598,0.059002216905355453,0.8474820010465163,24,2560,context_0,True,0.000902795,0,26214400.0,1024,8,-0.2789241671562195,1.9437527656555176,-0.7944058179855347,0.591170608997345,-0.3106498718261719,1.5754386186599731,8,8,16,0.9514107704162598,1.0,1.0,0.8907635139296639,1.0,0.8474820010465163
conv16,conv,40,40,64,64,3,3,1,1,conv_feature_splitter3_2,conv17,36928.0,59084800.0,,1655.49,241620,153600.0,6,1,2,12,3,1,0.0,1,1,1,True,,False,,133.33290100097656,149.99952697753906,yolov8n-pose/conv16,3,0,1,0.7695775,0,11,0.9026446342468262,0.07151725888252258,0.8955100557462404,56,576,context_0,True,0.000931515,0,117964800.0,13824,8,-0.3106498718261719,1.5754386186599731,-0.8098945617675781,0.9848071336746216,-0.28095772862434387,1.5560736656188965,8,8,16,0.9026446342468262,0.8333333333333334,0.8888888888888888,0.992095916565727,1.0,0.6633407820342522
conv17,conv,40,40,64,64,3,3,1,1,conv16,ew_add4,36928.0,59084800.0,,1717.03,232961,153600.0,6,1,2,12,3,1,0.0,1,1,1,True,,False,,133.33290100097656,149.99952697753906,yolov8n-pose/conv17,3,0,1,0.768585,0,11,0.9361953139305115,0.07417550683021545,0.8955100557538275,11,2880,context_0,True,0.000954555,0,117964800.0,20736,8,-0.28095772862434387,1.5560736656188965,-0.5946571826934814,0.721581757068634,-0.28218600153923035,1.3168680667877197,8,8,16,0.9361953139305115,0.8333333333333334,0.8888888888888888,0.9565419121722886,1.0,0.6633407820398722
ew_add4,ew_add,40,40,64,64,,,,,conv_feature_splitter3_2 conv17,conv18 ew_add5 concat3,0,51200.0,,10075.82,39699,,1,1,1,64,0,1,0.0,,,,False,,False,,133.33290100097656,0.0,yolov8n-pose/ew_add4,1,0,1,0.732875,0,64,0.6448525190353394,0.3224262595176697,0.1051140452613847,12,2560,context_0,True,0.0009570325,0,102400.0,0,N/A,N/A,N/A,N/A,N/A,-0.5697337985038757,2.889364242553711,8,8,16,0.6448525190353394,1.0,1.0,0.16300478351023423,1.0,0.1051140452613847
conv18,conv,40,40,64,64,3,3,1,1,ew_add4,conv19,36928.0,59084800.0,,1655.49,241620,153600.0,6,1,2,12,3,1,0.0,1,1,1,True,,False,,133.33290100097656,149.99952697753906,yolov8n-pose/conv18,3,0,1,0.7600524999999999,0,11,0.9026446342468262,0.07151725888252258,0.8955100557462404,56,576,context_0,True,0.0009866875,0,117964800.0,13824,8,-0.5697337985038757,2.889364242553711,-0.4911653995513916,0.5199278593063354,-0.2794000804424286,1.0399892330169678,8,8,16,0.9026446342468262,0.8333333333333334,0.8888888888888888,0.992095916565727,1.0,0.6633407820342522
conv19,conv,40,40,64,64,3,3,1,1,conv18,ew_add5,36928.0,59084800.0,,1717.03,232961,153600.0,6,1,2,12,3,1,0.0,1,1,1,True,,False,,133.33290100097656,149.99952697753906,yolov8n-pose/conv19,3,0,1,0.75906,0,11,0.9361953139305115,0.07417550683021545,0.8955100557538275,11,2880,context_0,True,0.0010097275,0,117964800.0,20736,8,-0.2794000804424286,1.0399892330169678,-0.9208698272705078,1.371833324432373,-0.27883705496788025,2.812617301940918,8,8,16,0.9361953139305115,0.8333333333333334,0.8888888888888888,0.9565419121722886,1.0,0.6633407820398722
ew_add5,ew_add,40,40,64,64,,,,,ew_add4 conv19,concat3,0,51200.0,,10075.82,39699,,1,1,1,64,0,1,0.0,,,,False,,False,,133.33290100097656,0.0,yolov8n-pose/ew_add5,1,0,1,0.7233499999999999,0,64,0.6448525190353394,0.3224262595176697,0.1051140452613847,12,2560,context_0,True,0.001012205,0,102400.0,0,N/A,N/A,N/A,N/A,N/A,-0.7000170350074768,3.550086259841919,8,8,16,0.6448525190353394,1.0,1.0,0.16300478351023423,1.0,0.1051140452613847
concat3,concat,40|40|40|40,40|40|40|40,256,64|64|64|64,,,,,conv_feature_splitter3_1 conv_feature_splitter3_2 ew_add4 ew_add5,conv20,0,0,,7413.59,53955,,1,1,1,256,0,1,1,,,,False,,False,,133.33290100097656,0.0,yolov8n-pose/concat3,0,0,1,0.724225,0,256,0.9489389061927795,0.9489389061927795,0.21022808385978534,16,2048,context_0,True,0.0010155575,0,0,0,N/A,-0.5288255214691162,2.681900978088379,N/A,N/A,-0.7000170350074768,3.550086259841919,8,N/A,N/A,0.9489389061927795,1.0,1.0,0.2215401671149069,0.0,0.21022808385978534
conv20,conv,40,40,128,256,1,1,1,1,concat3,conv21 concat6,32896.0,52633600.0,,1855.80,215541,204800.0,4,1,1,32,4,3,0.0,1,1,1,False,,False,,533.3316040039062,266.6658020019531,yolov8n-pose/conv20,4,0,1,0.73434,0,32,0.9538788199424744,0.11877090483903885,0.8441971493121225,18,5120,context_0,True,0.001026345,0,104857600.0,2048,8,-0.7000170350074768,3.550086259841919,-0.3045954704284668,0.4520816206932068,-0.2850172519683838,3.01859188079834,8,8,16,0.9538788199424744,1.0,1.0,0.8850150896138291,1.0,0.8441971493121225
conv21,conv,40,40,256,128,3,3,2,2,conv20,conv_feature_splitter4_1 conv_feature_splitter4_2,295168.0,118067200,,2115.08,189118,115200,17.0,3.0,3.0,256,2,4.0,,1,1,1,False,,False,combined (NORMAL),599.9980545043945,133.33290100097656,,16.0,0.0,3.0,0.73485,0,256,0.7672139967189116,0.34259655078252155,0.5562310817585443,52.0,8192,context_0,True,0.001042335,0,235929600,12288,8,-0.2850172519683838,3.01859188079834,-0.32834509015083313,0.7778093218803406,-0.28427621722221375,1.98104989528656,8,8,16,0.7560042142868042,1.0,1.0,0.776521792687183,0.9411764705882353,0.5870537477570544
conv_feature_splitter4_1,conv,20,20,128,256,1,1,1,1,conv21,concat4,32896.0,13158400.0,,2094.45,190981,102400.0,2,1,2,64,8,1,0.0,1,1,1,True,,False,,133.33290100097656,66.66645050048828,yolov8n-pose/conv_feature_splitter4_1,1,0,1,0.7262025,0,64,0.8612375259399414,0.053617898374795914,0.6753577529472417,10,3072,context_0,True,0.0010655225,0,26214400.0,2048,8,-0.28427621722221375,1.98104989528656,-0.8623507022857666,0.7519274950027466,-0.3193923234939575,2.395442247390747,8,8,16,0.8612375259399414,0.625,1.0,0.7841713030446119,1.0,0.422098595592026
conv_feature_splitter4_2,conv,20,20,128,256,1,1,1,1,conv21,conv23 ew_add6 concat4,32896.0,13158400.0,,2094.45,190981,102400.0,2,1,2,64,8,2,0.0,1,1,1,True,,False,,133.33290100097656,66.66645050048828,yolov8n-pose/conv_feature_splitter4_2,1,0,1,0.7262025,0,64,0.8612375259399414,0.053617898374795914,0.6753577529472417,20,3072,context_0,True,0.0010655225,0,26214400.0,2048,8,-0.28427621722221375,1.98104989528656,-0.8399624824523926,0.816784143447876,-0.2793048620223999,2.0947864055633545,8,8,16,0.8612375259399414,0.625,1.0,0.7841713030446119,1.0,0.422098595592026
conv23,conv,20,20,128,128,3,3,1,1,conv_feature_splitter4_2,conv24,147584.0,59033600.0,,2253.69,177487,115200.0,8,1,1,16,2,1,0.0,1,1,1,False,,False,,66.66645050048828,66.66645050048828,yolov8n-pose/conv23,8,0,1,0.7405275,0,16,0.857471227645874,0.0432707741856575,0.6248947659823985,32,1024,context_0,True,0.001104375,0,117964800.0,12288,8,-0.2793048620223999,2.0947864055633545,-0.768429696559906,0.8845087885856628,-0.28233736753463745,2.288949489593506,8,8,16,0.857471227645874,0.8333333333333334,1.0,0.7287647046747008,1.0,0.5207456383186655
conv24,conv,20,20,128,128,3,3,1,1,conv23,ew_add6,147584.0,59033600.0,,2306.96,173388,115200.0,8,1,1,16,2,1,0.0,1,1,1,False,,False,,66.66645050048828,66.66645050048828,yolov8n-pose/conv24,8,0,1,0.729325,0,16,0.8777424097061157,0.04429372400045395,0.6248947871404628,10,3072,context_0,True,0.0011377675,0,117964800.0,18432,8,-0.28233736753463745,2.288949489593506,-1.4971681833267212,1.3957486152648926,-0.2853757441043854,5.7788591384887695,8,8,16,0.8777424097061157,0.8333333333333334,1.0,0.71193413948141,1.0,0.5207456559503857
